Index Name,Date,Open,High,Low,Close
NIFTY 50,2026-05-29,23902.15,24002.8,23484.75,23547.75
NIFTY 50,2026-05-27,23880.35,23983.2,23858.25,23907.15
NIFTY 50,2026-05-26,24004.1,24089.8,23885.45,23913.7
NIFTY 50,2026-05-25,23940.25,24054.45,23922.85,24031.7
NIFTY 50,2026-05-22,23671.2,23835.65,23671,23719.3
NIFTY 50,2026-05-21,23830.05,23859.9,23596.6,23654.7
NIFTY 50,2026-05-20,23457.25,23690.9,23397.3,23659
NIFTY 50,2026-05-19,23675.3,23782.3,23587.2,23618
NIFTY 50,2026-05-18,23482.2,23695.65,23317.1,23649.95
NIFTY 50,2026-05-15,23731.4,23839.3,23610.3,23643.5
NIFTY 50,2026-05-14,23530.25,23777.2,23426.55,23689.6
NIFTY 50,2026-05-13,23362.45,23582.95,23262.55,23412.6
NIFTY 50,2026-05-12,23722.6,23757.55,23348.4,23379.55
NIFTY 50,2026-05-11,23970.1,23997.45,23799.1,23815.85
NIFTY 50,2026-05-08,24233.65,24253.8,24126.65,24176.15
NIFTY 50,2026-05-07,24398.5,24482.1,24284,24326.65
NIFTY 50,2026-05-06,24171,24356.5,23997.9,24330.95
NIFTY 50,2026-05-05,24052.6,24081.7,23882.05,24032.8
NIFTY 50,2026-05-04,24063.55,24290.2,24004.75,24119.3
NIFTY 50,2026-04-30,23996.95,24087.45,23796.85,23997.55
NIFTY 50,2026-04-29,24096.9,24334.7,24059.95,24177.65
NIFTY 50,2026-04-28,24049.9,24181.8,23957.05,23995.7
NIFTY 50,2026-04-27,23945.45,24130.7,23936.2,24092.7
NIFTY 50,2026-04-24,24100.55,24206,23813.65,23897.95
NIFTY 50,2026-04-23,24202.35,24310.2,24134.8,24173.05
NIFTY 50,2026-04-22,24470.85,24515.95,24352.9,24378.1
NIFTY 50,2026-04-21,24374.55,24601.7,24354.9,24576.6
NIFTY 50,2026-04-20,24391.5,24480.65,24241.25,24364.85
NIFTY 50,2026-04-17,24165.9,24371.9,24096.05,24353.55
NIFTY 50,2026-04-16,24385.2,24400.95,24102.8,24196.75
NIFTY 50,2026-04-15,24163.8,24280.9,24145.8,24231.3
NIFTY 50,2026-04-13,23589.6,23907.4,23555.6,23842.65
NIFTY 50,2026-04-10,23880.55,24074.05,23856.35,24050.6
NIFTY 50,2026-04-09,23909.05,23990.75,23682.8,23775.1
NIFTY 50,2026-04-08,23855.15,24025.15,23828.5,23997.35
NIFTY 50,2026-04-07,22838.7,23153.85,22719.3,23123.65
NIFTY 50,2026-04-06,22780.3,22998.35,22542.95,22968.25
NIFTY 50,2026-04-02,22383.4,22782.3,22182.55,22713.1
NIFTY 50,2026-04-01,22899,22941.3,22618.6,22679.4
NIFTY 50,2026-03-30,22549.65,22714.1,22283.85,22331.4
NIFTY 50,2026-03-27,23173.55,23186.1,22804.55,22819.6
NIFTY 50,2026-03-25,23064.4,23465.35,23063.2,23306.45
NIFTY 50,2026-03-24,22878.45,23057.3,22624.2,22912.4
NIFTY 50,2026-03-23,22824.35,22851.7,22471.25,22512.65
NIFTY 50,2026-03-20,23110.15,23345.15,23067.6,23114.5
NIFTY 50,2026-03-19,23197.75,23378.7,22930.35,23002.15
NIFTY 50,2026-03-18,23632.9,23862.25,23618.45,23777.8
NIFTY 50,2026-03-17,23493.2,23656.8,23346.6,23581.15
NIFTY 50,2026-03-16,23116.1,23502,22955.25,23408.8
NIFTY 50,2026-03-13,23462.5,23492.4,23112,23151.1
NIFTY 50,2026-03-12,23674.85,23833.15,23556.3,23639.15
NIFTY 50,2026-03-11,24231.85,24299,23834.3,23866.85
NIFTY 50,2026-03-10,24280.8,24303.8,24079.95,24261.6
NIFTY 50,2026-03-09,23868.05,24078.15,23697.8,24028.05
NIFTY 50,2026-03-06,24656.4,24700.8,24415.75,24450.45
NIFTY 50,2026-03-05,24615.95,24854.2,24529.4,24765.9
NIFTY 50,2026-03-04,24388.8,24602.45,24305.4,24480.5
NIFTY 50,2026-03-02,24659.25,24989.35,24603.5,24865.7
NIFTY 50,2026-02-27,25459.85,25476.4,25141.3,25178.65
NIFTY 50,2026-02-26,25556.3,25572.95,25400.95,25496.55
NIFTY 50,2026-02-25,25512.6,25652.6,25428.2,25482.5
NIFTY 50,2026-02-24,25641.8,25641.8,25327.6,25424.65
NIFTY 50,2026-02-23,25678.4,25771.45,25609.35,25713
NIFTY 50,2026-02-20,25406.55,25663.55,25379.75,25571.25
NIFTY 50,2026-02-19,25873.35,25885.3,25388.75,25454.35
NIFTY 50,2026-02-18,25752.65,25828.05,25645.15,25819.35
NIFTY 50,2026-02-17,25637.95,25764.4,25570.3,25725.4
NIFTY 50,2026-02-16,25423.6,25697,25372.7,25682.75
NIFTY 50,2026-02-13,25571.15,25630.35,25444.3,25471.1
NIFTY 50,2026-02-12,25906.7,25906.7,25752.4,25807.2
NIFTY 50,2026-02-11,25997.45,26009.4,25899.8,25953.85
NIFTY 50,2026-02-10,25922.65,25989.45,25870.45,25935.15
NIFTY 50,2026-02-09,25888.7,25922.25,25780.9,25867.3
NIFTY 50,2026-02-06,25605.8,25703.95,25491.9,25693.7
NIFTY 50,2026-02-05,25755.9,25757.65,25579.5,25642.8
NIFTY 50,2026-02-04,25675.05,25818.55,25563.95,25776
NIFTY 50,2026-02-03,26308.05,26341.2,25641.3,25727.55
NIFTY 50,2026-02-02,24796.5,25108.1,24679.4,25088.4
NIFTY 50,2026-02-01,25333.75,25440.9,24571.75,24825.45
